id,Precio_cat
4820,5
4821,3
4822,2
4823,2
4824,1
4825,2
4826,5
4827,5
4828,3
4829,5
4830,4
4831,4
4832,1
4833,3
4834,5
4835,2
4836,2
4837,5
4838,5
4839,1
4840,1
4841,1
4842,1
4843,4
4844,3
4845,3
4846,5
4847,5
4848,5
4849,3
4850,4
4851,4
4852,4
4853,5
4854,3
4855,3
4856,5
4857,2
4858,3
4859,1
4860,3
4861,3
4862,5
4863,2
4864,3
4865,3
4866,5
4867,3
4868,4
4869,5
4870,2
4871,4
4872,5
4873,2
4874,3
4875,1
4876,5
4877,1
4878,2
4879,1
4880,4
4881,3
4882,5
4883,3
4884,2
4885,3
4886,5
4887,3
4888,5
4889,3
4890,3
4891,5
4892,2
4893,3
4894,4
4895,5
4896,3
4897,5
4898,4
4899,3
4900,2
4901,3
4902,2
4903,4
4904,3
4905,1
4906,4
4907,3
4908,3
4909,3
4910,4
4911,3
4912,3
4913,1
4914,3
4915,1
4916,5
4917,5
4918,2
4919,1
4920,4
4921,3
4922,3
4923,5
4924,3
4925,5
4926,1
4927,4
4928,3
4929,1
4930,5
4931,1
4932,1
4933,1
4934,5
4935,5
4936,5
4937,4
4938,1
4939,4
4940,3
4941,3
4942,5
4943,5
4944,4
4945,4
4946,1
4947,2
4948,1
4949,3
4950,2
4951,2
4952,5
4953,5
4954,3
4955,1
4956,1
4957,2
4958,3
4959,3
4960,3
4961,2
4962,1
4963,5
4964,2
4965,1
4966,5
4967,3
4968,3
4969,3
4970,5
4971,4
4972,4
4973,3
4974,5
4975,5
4976,5
4977,5
4978,5
4979,1
4980,3
4981,2
4982,2
4983,4
4984,4
4985,4
4986,2
4987,3
4988,3
4989,1
4990,5
4991,1
4992,1
4993,5
4994,4
4995,3
4996,5
4997,5
4998,3
4999,3
5000,5
5001,5
5002,4
5003,5
5004,4
5005,2
5006,5
5007,3
5008,5
5009,5
5010,3
5011,5
5012,3
5013,4
5014,3
5015,5
5016,3
5017,3
5018,3
5019,5
5020,5
5021,2
5022,5
5023,2
5024,1
5025,3
5026,3
5027,2
5028,3
5029,1
5030,5
5031,5
5032,1
5033,5
5034,3
5035,4
5036,3
5037,4
5038,3
5039,5
5040,3
5041,5
5042,4
5043,2
5044,1
5045,3
5046,5
5047,3
5048,2
5049,2
5050,5
5051,5
5052,5
5053,4
5054,3
5055,1
5056,5
5057,4
5058,5
5059,5
5060,3
5061,4
5062,1
5063,3
5064,2
5065,3
5066,3
5067,4
5068,5
5069,3
5070,2
5071,3
5072,5
5073,3
5074,5
5075,5
5076,3
5077,3
5078,5
5079,3
5080,1
5081,5
5082,3
5083,1
5084,3
5085,1
5086,5
5087,4
5088,3
5089,2
5090,1
5091,1
5092,4
5093,1
5094,3
5095,2
5096,3
5097,3
5098,5
5099,1
5100,5
5101,5
5102,3
5103,4
5104,4
5105,3
5106,3
5107,1
5108,5
5109,2
5110,2
5111,1
5112,4
5113,4
5114,2
5115,5
5116,5
5117,4
5118,4
5119,3
5120,2
5121,3
5122,2
5123,3
5124,3
5125,3
5126,2
5127,3
5128,3
5129,5
5130,3
5131,5
5132,5
5133,3
5134,4
5135,3
5136,3
5137,3
5138,1
5139,3
5140,3
5141,5
5142,2
5143,3
5144,4
5145,3
5146,3
5147,1
5148,5
5149,5
5150,4
5151,5
5152,2
5153,5
5154,4
5155,1
5156,3
5157,4
5158,3
5159,2
5160,3
5161,5
5162,3
5163,1
5164,3
5165,1
5166,3
5167,2
5168,4
5169,5
5170,5
5171,5
5172,2
5173,5
5174,3
5175,5
5176,2
5177,4
5178,3
5179,5
5180,4
5181,3
5182,1
5183,2
5184,3
5185,3
5186,4
5187,3
5188,4
5189,2
5190,5
5191,2
5192,3
5193,3
5194,4
5195,3
5196,1
5197,2
5198,3
5199,5
5200,3
5201,1
5202,3
5203,4
5204,5
5205,3
5206,1
5207,4
5208,3
5209,1
5210,5
5211,1
5212,5
5213,2
5214,5
5215,3
5216,3
5217,3
5218,4
5219,3
5220,4
5221,5
5222,3
5223,3
5224,4
5225,3
5226,5
5227,1
5228,3
5229,5
5230,5
5231,5
5232,5
5233,3
5234,4
5235,1
5236,1
5237,1
5238,1
5239,2
5240,1
5241,3
5242,2
5243,5
5244,5
5245,2
5246,1
5247,5
5248,3
5249,3
5250,3
5251,3
5252,1
5253,4
5254,5
5255,4
5256,2
5257,5
5258,3
5259,4
5260,5
5261,5
5262,5
5263,1
5264,4
5265,2
5266,3
5267,2
5268,3
5269,3
5270,3
5271,5
5272,3
5273,3
5274,5
5275,3
5276,4
5277,5
5278,1
5279,4
5280,4
5281,5
5282,5
5283,3
5284,5
5285,5
5286,2
5287,3
5288,3
5289,5
5290,1
5291,5
5292,3
5293,3
5294,3
5295,4
5296,2
5297,2
5298,2
5299,2
5300,4
5301,5
5302,3
5303,5
5304,5
5305,4
5306,5
5307,3
5308,2
5309,5
5310,3
5311,5
5312,2
5313,2
5314,5
5315,5
5316,5
5317,5
5318,5
5319,2
5320,3
5321,1
5322,5
5323,1
5324,2
5325,5
5326,2
5327,3
5328,1
5329,1
5330,1
5331,3
5332,2
5333,4
5334,3
5335,2
5336,2
5337,3
5338,4
5339,2
5340,4
5341,5
5342,3
5343,5
5344,3
5345,1
5346,4
5347,5
5348,5
5349,5
5350,4
5351,3
5352,5
5353,5
5354,1
5355,5
5356,2
5357,5
5358,4
5359,5
5360,3
5361,5
5362,5
5363,4
5364,1
5365,3
5366,5
5367,3
5368,3
5369,4
5370,3
5371,3
5372,2
5373,1
5374,5
5375,3
5376,5
5377,4
5378,3
5379,2
5380,4
5381,3
5382,1
5383,3
5384,3
5385,4
5386,2
5387,3
5388,2
5389,1
5390,3
5391,3
5392,5
5393,5
5394,5
5395,3
5396,5
5397,4
5398,2
5399,5
5400,3
5401,1
5402,5
5403,4
5404,5
5405,5
5406,1
5407,3
5408,4
5409,3
5410,3
5411,3
5412,3
5413,3
5414,3
5415,1
5416,3
5417,3
5418,2
5419,4
5420,3
5421,5
5422,4
5423,4
5424,2
5425,2
5426,5
5427,2
5428,3
5429,1
5430,1
5431,5
5432,5
5433,4
5434,4
5435,3
5436,4
5437,1
5438,4
5439,4
5440,5
5441,2
5442,5
5443,3
5444,3
5445,3
5446,5
5447,3
5448,3
5449,2
5450,5
5451,2
5452,1
5453,5
5454,1
5455,5
5456,2
5457,4
5458,3
5459,5
5460,5
5461,5
5462,3
5463,2
5464,5
5465,4
5466,2
5467,5
5468,3
5469,1
5470,3
5471,3
5472,2
5473,2
5474,1
5475,4
5476,2
5477,3
5478,4
5479,4
5480,4
5481,2
5482,2
5483,5
5484,5
5485,2
5486,5
5487,2
5488,5
5489,3
5490,2
5491,3
5492,5
5493,1
5494,2
5495,5
5496,3
5497,5
5498,3
5499,3
5500,3
5501,3
5502,5
5503,4
5504,4
5505,3
5506,3
5507,3
5508,5
5509,1
5510,3
5511,5
5512,2
5513,1
5514,5
5515,3
5516,3
5517,3
5518,3
5519,5
5520,3
5521,4
5522,3
5523,3
5524,1
5525,3
5526,5
5527,2
5528,2
5529,2
5530,5
5531,5
5532,1
5533,5
5534,4
5535,1
5536,4
5537,4
5538,2
5539,1
5540,2
5541,3
5542,2
5543,3
5544,3
5545,3
5546,1
5547,1
5548,1
5549,2
5550,5
5551,5
5552,3
5553,3
5554,2
5555,3
5556,3
5557,5
5558,3
5559,3
5560,2
5561,5
5562,5
5563,3
5564,3
5565,3
5566,1
5567,3
5568,3
5569,5
5570,3
5571,3
5572,3
5573,3
5574,3
5575,2
5576,3
5577,2
5578,3
5579,1
5580,2
5581,3
5582,2
5583,5
5584,5
5585,5
5586,2
5587,4
5588,2
5589,3
5590,3
5591,4
5592,5
5593,1
5594,1
5595,4
5596,5
5597,2
5598,4
5599,5
5600,4
5601,5
5602,5
5603,2
5604,3
5605,4
5606,2
5607,4
5608,3
5609,3
5610,3
5611,3
5612,3
5613,4
5614,3
5615,3
5616,1
5617,3
5618,3
5619,2
5620,3
5621,1
5622,1
5623,3
5624,3
5625,3
5626,4
5627,1
5628,1
5629,4
5630,5
5631,3
5632,3
5633,5
5634,4
5635,4
5636,4
5637,5
5638,4
5639,3
5640,1
5641,3
5642,1
5643,1
5644,2
5645,2
5646,3
5647,1
5648,3
5649,1
5650,4
5651,5
5652,5
5653,4
5654,3
5655,1
5656,3
5657,4
5658,3
5659,1
5660,4
5661,3
5662,2
5663,5
5664,5
5665,4
5666,2
5667,4
5668,2
5669,5
5670,5
5671,2
5672,3
5673,5
5674,2
5675,3
5676,1
5677,3
5678,5
5679,3
5680,3
5681,2
5682,1
5683,4
5684,5
5685,2
5686,1
5687,3
5688,3
5689,1
5690,2
5691,3
5692,4
5693,3
5694,4
5695,2
5696,2
5697,4
5698,4
5699,3
5700,4
5701,3
5702,1
5703,4
5704,2
5705,5
5706,5
5707,2
5708,2
5709,5
5710,3
5711,2
5712,2
5713,4
5714,3
5715,1
5716,5
5717,5
5718,3
5719,3
5720,2
5721,4
5722,5
5723,1
5724,1
5725,3
5726,4
5727,1
5728,3
5729,2
5730,3
5731,3
5732,4
5733,5
5734,1
5735,2
5736,2
5737,2
5738,2
5739,5
5740,2
5741,3
5742,3
5743,4
5744,2
5745,5
5746,1
5747,5
5748,5
5749,3
5750,5
5751,3
5752,1
5753,1
5754,5
5755,4
5756,4
5757,2
5758,2
5759,4
5760,3
5761,5
5762,5
5763,3
5764,3
5765,3
5766,4
5767,2
5768,5
5769,5
5770,5
5771,4
5772,3
5773,3
5774,3
5775,5
5776,2
5777,5
5778,3
5779,4
5780,1
5781,5
5782,4
5783,5
5784,4
5785,4
5786,1
5787,5
5788,4
5789,3
5790,1
5791,5
5792,5
5793,5
5794,5
5795,2
5796,1
5797,2
5798,5
5799,4
5800,5
5801,3
5802,3
5803,3
5804,1
5805,5
5806,5
5807,3
5808,2
5809,5
5810,3
5811,5
5812,2
5813,2
5814,5
5815,3
5816,1
5817,3
5818,5
5819,1
5820,4
5821,2
5822,3
5823,2
5824,3
5825,1
5826,4
5827,2
5828,1
5829,5
5830,2
5831,3
5832,3
5833,5
5834,3
5835,2
5836,5
5837,3
5838,3
5839,3
5840,5
5841,3
5842,3
5843,4
5844,3
5845,4
5846,3
5847,2
5848,1
5849,3
5850,3
5851,2
5852,1
5853,2
5854,2
5855,1
5856,2
5857,5
5858,5
5859,2
5860,1
5861,2
5862,3
5863,3
5864,5
5865,4
5866,5
5867,5
5868,2
5869,3
5870,4
5871,4
5872,2
5873,2
5874,2
5875,1
5876,2
5877,5
5878,5
5879,3
5880,3
5881,4
5882,1
5883,4
5884,3
5885,5
5886,1
5887,5
5888,1
5889,2
5890,5
5891,2
5892,1
5893,5
5894,5
5895,5
5896,5
5897,5
5898,2
5899,3
5900,5
5901,3
5902,1
5903,3
5904,5
5905,5
5906,3
5907,3
5908,3
5909,4
5910,2
5911,3
5912,1
5913,2
5914,4
5915,5
5916,5
5917,3
5918,3
5919,2
5920,3
5921,4
5922,3
5923,1
5924,3
5925,5
5926,2
5927,3
5928,4
5929,3
5930,5
5931,5
5932,5
5933,3
5934,5
5935,5
5936,3
5937,1
5938,5
5939,2
5940,3
5941,5
5942,2
5943,2
5944,4
5945,4
5946,5
5947,1
5948,1
5949,3
5950,3
5951,3
5952,4
5953,3
5954,5
5955,2
5956,3
5957,3
5958,5
5959,5
5960,2
5961,2
5962,2
5963,5
5964,4
5965,2
5966,1
5967,3
5968,3
5969,2
5970,4
5971,5
5972,1
5973,3
5974,2
5975,1
5976,5
5977,5
5978,5
